"object link","text"
"https://pec.ac.in/sites/default/files/uploads/events/STC-MMCO-2021.pdf","One week STC on Micro Manufacturing from 4th to 8th January, 2021"
"https://pec.ac.in/sites/default/files/uploads/events/Email_Manual.pdf","Manual to Access pec.edu.in Email ID"
"https://pec.ac.in/sites/default/files/uploads/events/corona_virus_urgent_notice.pdf","As a precautionary measure against the spread of Corona Virus, teaching shall remain suspended in the institute indefinitely."
"https://pec.ac.in/sites/default/files/uploads/tenders/tender_cc_7-9-20.pdf","Download Tender"
"https://pec.ac.in/sites/default/files/office_orders/notice-1-9-20.PDF","Download Office Order"
"https://pec.ac.in/sites/default/files/office_orders/office_order_1-9-2020.pdf","Download Office Order"
"https://pec.ac.in/sites/default/files/uploads/nirf_2019-20.pdf","Click Here to Download Data Submitted for Participation in National Institutional Ranking Framework (NIRF), India Rankings 2020"
"https://pec.ac.in/sites/default/files/uploads/RTI_mandatory_Info_07-01-2020.pdf","Right to information"
"https://pec.ac.in/sites/default/files/uploads/rightinfo_12_form.pdf","Download the performa of Appeal"
"https://pec.ac.in/sites/default/files/uploads/audit_report_rti.pdf","Third party audit report of RTI compliance"
"https://pec.ac.in/sites/default/files/gallery_images/IMG_3949_0.jpg",""
"https://pec.ac.in/sites/default/files/gallery_images/IMG_20151130_122959.jpg",""
"https://pec.ac.in/sites/default/files/gallery_images/DSC_6577.JPG",""
"https://pec.ac.in/sites/default/files/gallery_images/DSC_6583.JPG",""
"https://pec.ac.in/sites/default/files/gallery_images/DSC_6631.JPG",""
"https://pec.ac.in/sites/default/files/gallery_images/DSC_6758.JPG",""
"https://pec.ac.in/sites/default/files/gallery_images/DSC_6711.JPG",""
"https://pec.ac.in/sites/default/files/gallery_images/DSC_6705.JPG",""
"https://pec.ac.in/sites/default/files/gallery_images/DSC_6797.JPG",""
"https://pec.ac.in/sites/default/files/gallery_images/DSC_6757.JPG",""
"https://pec.ac.in/sites/default/files/gallery_images/DSC_6692.JPG",""
"https://pec.ac.in/sites/default/files/gallery_images/DSC_6703.JPG",""
"https://pec.ac.in/sites/default/files/uploads/balance_sheet_pec_18-19.pdf","Balance Sheet for the F.Y. 2018-19"
"https://pec.ac.in/sites/default/files/uploads/balance_sheet_teqip_18-19.PDF","Balance Sheet for the F.Y. 2018-19"
"https://pec.ac.in/sites/default/files/uploads/balance_sheet_teqip_17-18.PDF","Balance Sheet for the F.Y. 2017-18"
"https://pec.ac.in/sites/default/files/uploads/iqac_annual_report_11-12.pdf","IQAC Annual Report 2011-12"
"https://pec.ac.in/sites/default/files/uploads/iqac_annual_report_13-14.pdf","IQAC Annual Report 2013-14"
"https://pec.ac.in/sites/default/files/uploads/iqac_annual_report_14-15.pdf","IQAC Annual Report 2014-15"
"https://pec.ac.in/sites/default/files/uploads/iqac_annual_report_15-16.pdf","IQAC Annual Report 2015-16"
"https://pec.ac.in/sites/default/files/uploads/iqac_annual_report_16-17.pdf","IQAC Annual Report 2016-17"
"https://pec.ac.in/sites/default/files/uploads/iqac_annual_report_17-18.pdf","IQAC Annual Report 2017-18"
"https://pec.ac.in/sites/default/files/uploads/phd_rules.pdf","PhD Rules effective from 2014 Onwards"
"https://pec.ac.in/sites/default/files/uploads/EOA_Report_2019-20.PDF","Letter of Extension of Approval 2019-20"
"https://pec.ac.in/sites/default/files/uploads/naac_ssr_pec.pdf","Self Study Report (SSR) for First Cycle of Accreditation"
"https://pec.ac.in/sites/default/files/attachments/nsp_notice.pdf","National Scholarship Portal"
"https://pec.ac.in/sites/default/files/attachments/sdpc_notice.pdf","Scholarship Programme for Diaspora Children"
"https://pec.ac.in/sites/default/files/attachments/scholarships_minority_communities_notice.pdf","Scholarship Notice for Different Minority Communities"
"https://pec.ac.in/sites/default/files/attachments/top_class_sc.pdf","Top Class Scheme for SC Candidates"
"https://pec.ac.in/sites/default/files/uploads/iqac_aqar-2017-18.pdf","Download Report"
"https://pec.ac.in/sites/default/files/uploads/iqac_aqar-2016-17.pdf","Download Report"
"https://pec.ac.in/sites/default/files/uploads/iqac_aqar-2015-16.pdf","Download Report"
"https://pec.ac.in/sites/default/files/uploads/iqac_aqar-2014-15.pdf","Download Report"
"https://pec.ac.in/sites/default/files/uploads/iqac_aqar-2013-14.pdf","Download Report"
"https://pec.ac.in/sites/default/files/uploads/iqac_aqar-2012-13.pdf","Download Report"
"https://pec.ac.in/sites/default/files/uploads/iqac_aqar-2011-12.pdf","Download Report"
"https://pec.ac.in/sites/default/files/uploads/iqac_aqar-2010-11.pdf","Download Report"
"https://pec.ac.in/sites/default/files/uploads/Siemens_CoE_PEC_compressed.pdf","Center of Excellence Siemens"
"https://pec.ac.in/sites/default/files/uploads/distribution_pdf_cp_2020.pdf","Distribution of PDF and Incentive for Consultancy Testing Project"
"https://pec.ac.in/sites/default/files/uploads/distribution_pdf_sp_2020.pdf","Distribution of PDF and Incentive for Sponsored Projects"
"https://pec.ac.in/sites/default/files/uploads/notice_dsa_corona_virus_17-03-2020.pdf","Office Order No. PEC/DSA/2020/513 by Dean Student Affairs"
"https://pec.ac.in/sites/default/files/uploads/events/estate_office_notice_19-3-2020.pdf","Office Order No. PEC/EO/4997 by Estate Office"
"https://pec.ac.in/sites/default/files/uploads/estate_office_notice_1_19-3-2020.pdf","Office Order No. PEC/EO/4996 by Estate Office"
"https://pec.ac.in/sites/default/files/uploads/Rules%20%26%20Instructions%20for%20Hostels%20during%20COVID-19_compressed.pdf","Rules & Instructions for Hostel Residents (During COVID-19)"
